"lad_id","R00","R01","R02","R03","R04","R05","R07","R08","R09","R11","R12","R13","name","updated_at","tot_shops"
"021",1,12,23,82,313,814,43,0,63,0,0,0,"Aylesbury Vale",2018-02-24,1351
"022",0,11,13,43,164,401,5,0,47,0,0,0,"Chiltern",2018-02-24,684
"024",2,6,13,40,120,350,3,0,8,0,0,0,"South Buckinghamshire",2018-02-27,542
"025",14,63,35,99,162,586,68,0,90,0,0,0,"Wycombe",2018-02-27,1117
"027",1,26,25,71,180,910,58,0,88,0,0,0,"Cambridge City",2018-02-27,1359
"028",3,17,8,44,109,382,31,0,50,0,0,0,"East Cambridgeshire",2018-02-27,644
"029",0,12,6,49,78,516,4,0,39,0,0,0,"Fenland",2018-02-22,704
"030",1,14,14,83,178,736,152,0,74,0,0,0,"Huntingdonshire",2018-02-27,1252
"032",0,9,3,22,118,840,100,0,9,0,0,0,"South Cambridgeshire",2018-02-23,1101
"055",1,16,21,78,194,680,0,1,104,0,0,0,"Allerdale",2018-02-27,1095
"056",2,10,3,23,56,404,1,1,34,0,0,0,"Barrow-in-Furness",2018-02-21,534
"057",0,4,5,30,93,626,29,0,31,0,0,0,"Carlisle City",2018-02-26,818
"058",0,2,22,48,96,444,0,0,27,0,0,0,"Copeland",2018-02-22,639
"059",2,7,10,11,70,693,30,0,67,0,0,0,"Eden",2018-02-21,890
"060",2,3,11,62,220,1240,8,0,119,0,0,0,"South Lakeland",2018-02-23,1665
"062",1,16,12,64,123,714,2,0,40,0,0,0,"Amber Valley",2018-02-22,972
"063",1,4,4,18,50,500,30,0,63,0,0,0,"Bolsover",2018-02-27,670
"064",0,10,6,39,145,638,11,0,67,0,0,0,"Chesterfield",2018-02-23,916
"066",0,7,13,44,147,598,3,0,56,0,0,0,"Erewash",2018-02-27,868
"067",2,1,2,48,105,630,2,0,3,0,0,0,"High Peak",2018-02-23,793
"068",0,1,8,33,107,544,23,0,56,0,0,0,"North East Derbyshire",2018-02-27,772
"069",1,11,1,24,69,551,10,0,19,0,0,0,"South Derbyshire",2018-02-13,686
"070",2,20,17,69,134,616,1,0,36,0,0,0,"Derbyshire Dales",2018-02-26,895
"072",3,28,20,140,294,818,0,0,130,0,0,0,"East Devon",2018-02-27,1433
"073",0,18,12,48,167,716,0,0,28,0,0,0,"Exeter City",2018-02-22,989
"074",2,4,7,20,47,438,11,0,0,0,0,0,"Mid Devon",2018-02-01,529
"075",0,2,0,15,126,1202,0,0,73,0,0,0,"North Devon",2018-02-21,1418
"077",1,10,5,20,68,583,31,0,40,0,0,0,"South Hams",2018-02-19,758
"078",0,8,7,22,78,1078,25,0,45,0,0,0,"Teignbridge",2018-02-23,1263
"080",0,2,5,25,75,540,4,0,136,0,0,0,"Torridge",2018-02-27,787
"081",0,6,6,6,50,286,26,0,17,0,0,0,"West Devon",2018-02-12,397
"084",1,3,1,18,50,240,2,0,53,0,0,0,"Christchurch",2018-02-24,368
"085",0,5,2,15,42,458,0,0,67,0,0,0,"East Dorset",2018-02-16,589
"086",0,4,1,28,39,401,0,0,261,0,0,0,"North Dorset",2018-02-22,734
"088",0,1,3,24,77,455,0,0,4,0,0,0,"Purbeck",2018-02-22,564
"089",0,1,3,25,148,851,28,0,428,0,0,0,"West Dorset",2018-02-22,1484
"090",0,0,1,16,58,376,13,0,399,0,0,0,"Weymouth and Portland",2018-02-20,863
"102",0,5,4,36,142,767,33,0,80,0,0,0,"Eastbourne",2017-12-30,1067
"103",0,6,6,19,98,664,28,0,12,0,0,0,"Hastings",2018-02-23,833
"105",1,26,13,58,101,683,36,0,127,0,0,0,"Lewes",2018-02-27,1045
"106",0,21,2,118,190,632,20,0,1,0,0,0,"Rother",2018-02-27,984
"107",0,6,4,110,272,908,44,0,38,0,0,0,"Wealden",2018-02-27,1382
"109",0,9,13,45,116,751,37,0,172,0,0,0,"Basildon",2018-02-27,1143
"110",0,6,3,35,166,791,0,0,66,0,0,0,"Braintree",2018-02-24,1067
"111",0,2,3,25,73,473,7,0,38,0,0,0,"Brentwood",2018-02-13,621
"112",1,22,12,28,74,309,16,0,27,0,0,0,"Castle Point",2018-02-20,489
"113",2,22,14,62,120,910,0,0,51,0,0,0,"Chelmsford",2018-02-27,1181
"114",0,11,13,40,163,966,29,0,230,0,0,0,"Colchester",2018-02-27,1452
"115",3,15,9,82,120,618,18,0,155,0,0,0,"Epping Forest",2018-02-27,1020
"116",3,19,4,23,72,382,23,0,50,0,0,0,"Harlow",2018-02-21,576
"117",1,3,0,16,37,432,4,0,73,0,0,0,"Maldon",2018-02-26,566
"118",1,4,7,17,63,385,25,0,48,0,0,0,"Rochford",2018-02-01,550
"120",3,12,6,20,124,763,96,0,29,0,0,0,"Tendring",2018-02-23,1053
"122",2,18,20,26,102,497,21,0,84,0,0,0,"Uttlesford",2018-02-23,770
