"lad_id","R00","R01","R02","R03","R04","R05","R07","R08","R09","R11","R12","R13"
21,1,12,28,77,315,783,84,0,63,0,0,0
22,0,13,13,52,157,382,2,0,57,0,0,0
24,2,10,10,45,118,343,2,0,6,0,0,0
25,9,68,26,94,164,563,4,0,92,0,0,0
27,2,29,20,59,199,933,49,0,93,0,0,0
28,2,17,12,41,126,368,23,0,57,0,0,0
29,2,8,9,41,71,487,7,0,65,0,0,0
30,2,18,11,94,181,703,170,0,78,0,0,0
32,0,13,5,19,125,826,77,0,10,0,0,0
55,1,12,26,88,196,638,15,0,109,0,0,0
56,2,9,1,29,53,403,1,0,50,0,0,0
57,1,8,7,33,101,604,16,0,27,0,0,0
58,0,2,23,55,96,442,0,0,27,0,0,0
59,0,8,13,11,76,708,12,0,67,0,0,0
60,2,2,8,69,220,1232,3,0,119,0,0,0
62,1,12,13,70,121,719,1,0,40,0,0,0
63,1,10,6,17,46,494,25,0,63,0,0,0
64,1,11,8,42,142,616,14,0,65,0,0,0
66,0,7,7,46,162,587,6,0,58,0,0,0
67,3,3,2,48,108,601,2,0,3,0,0,0
68,1,2,8,35,108,529,25,0,54,0,0,0
69,0,8,4,23,55,553,0,0,39,0,0,0
70,0,20,20,81,133,611,2,0,30,0,0,0
72,2,20,21,153,295,814,0,0,134,0,0,0
73,0,11,10,42,167,724,0,0,31,0,0,0
75,0,1,1,17,126,1223,0,0,74,0,0,0
77,1,13,4,25,77,561,30,0,35,0,0,0
78,1,6,10,27,93,1073,29,0,32,0,0,0
80,0,1,5,21,67,544,0,0,143,0,0,0
81,0,5,3,9,52,317,30,0,11,0,0,0
84,0,4,1,20,56,231,1,0,19,0,0,0
85,0,6,0,15,52,445,0,0,43,0,0,0
86,0,2,1,28,50,384,0,0,263,0,0,0
88,0,1,5,25,89,461,0,0,5,0,0,0
89,0,2,3,30,203,810,38,0,429,0,0,0
90,0,0,0,20,67,374,17,0,393,0,0,0
102,0,5,5,39,133,782,25,0,80,0,0,0
103,0,8,5,24,86,576,53,0,97,0,0,0
105,2,23,14,59,104,674,43,0,128,0,0,0
106,0,14,4,124,209,606,23,0,1,0,0,0
107,1,3,2,108,291,900,28,0,41,0,0,0
109,2,11,15,46,103,752,36,0,185,0,0,0
110,0,8,8,41,166,762,0,0,70,0,0,0
111,0,2,2,22,81,457,10,0,62,0,0,0
112,2,29,14,33,70,294,6,0,33,0,0,0
113,3,17,13,65,109,861,0,0,82,0,0,0
114,1,14,12,46,178,912,34,0,240,0,0,0
115,1,11,11,70,118,590,14,0,150,0,0,0
116,4,15,4,26,76,385,12,0,52,0,0,0
117,1,4,2,14,42,428,4,0,74,0,0,0
118,1,5,5,18,65,397,27,0,49,0,0,0
120,2,10,7,21,120,736,150,0,22,0,0,0
122,4,15,15,35,102,489,15,0,84,0,0,0
124,1,10,0,96,220,527,4,0,27,0,0,0
125,2,6,13,68,174,518,14,0,89,0,0,0
126,3,4,16,32,114,424,48,0,91,0,0,0
127,2,13,13,20,83,744,0,0,14,0,0,0
128,0,17,20,64,151,591,1,0,194,0,0,0
129,1,12,17,56,140,417,27,0,17,0,0,0
131,1,2,3,57,125,539,5,0,293,0,0,0
132,0,10,13,34,150,579,44,0,54,0,0,0
133,0,3,14,22,88,518,0,0,98,0,0,0
134,3,16,22,26,85,433,0,0,45,0,0,0
135,1,8,12,25,70,393,0,0,23,0,0,0
136,0,9,6,62,104,316,29,0,73,0,0,0
137,0,5,3,34,59,601,9,0,110,0,0,0
138,2,32,12,69,248,892,0,0,50,0,0,0
140,2,4,22,60,129,357,4,0,61,0,0,0
142,0,20,22,55,166,587,23,0,42,0,0,0
143,1,14,5,47,94,641,3,0,21,0,0,0
145,0,6,3,43,91,324,29,0,179,0,0,0
148,0,6,5,51,101,321,44,0,233,0,0,0
149,0,3,3,36,52,184,47,0,150,0,0,0
151,0,3,3,56,87,371,47,0,219,0,0,0
152,1,8,6,65,125,417,38,0,281,0,0,0
153,1,2,7,62,102,294,45,0,172,0,0,0
155,1,8,3,22,77,426,8,0,85,0,0,0
156,1,32,21,67,138,697,39,0,96,0,0,0
157,3,30,19,48,240,622,172,0,97,0,0,0
158,5,39,49,57,132,250,11,0,44,0,0,0
159,1,45,21,36,181,607,45,1,74,0,0,0
160,2,20,15,82,135,534,34,0,65,0,0,0
161,1,10,4,11,69,348,0,0,60,0,0,0
162,0,8,5,48,107,239,0,0,8,0,0,0
163,0,21,21,44,130,429,28,0,54,0,0,0
164,11,13,22,43,102,346,83,0,112,0,0,0
179,0,9,8,42,136,787,29,0,53,0,0,0
180,0,7,13,170,263,929,27,0,103,0,0,0
181,2,16,20,54,166,480,1,0,80,0,0,0
182,2,10,10,81,208,738,0,0,74,0,0,0
184,1,11,7,21,130,479,27,0,12,0,0,0
185,2,6,4,16,109,833,13,0,68,0,0,0
187,1,19,24,95,183,405,1,0,43,0,0,0
188,1,8,24,99,152,732,14,0,63,0,0,0
189,0,4,8,39,176,657,24,0,15,0,0,0
190,2,12,12,6,92,1141,0,0,53,0,0,0
191,0,9,34,80,207,537,25,0,72,0,0,0
192,0,13,12,21,82,774,41,0,40,0,0,0
196,0,4,11,69,195,485,27,0,71,0,0,0
197,0,25,15,42,116,514,8,0,127,0,0,0
198,4,27,22,36,164,376,21,0,109,0,0,0
199,11,51,32,28,139,399,18,0,38,0,0,0
200,2,20,20,63,160,927,27,0,0,0,0,0
201,0,2,5,45,103,614,2,0,28,0,0,0
202,0,24,32,137,204,777,22,0,60,0,0,0
203,0,5,9,15,55,455,7,0,56,0,0,0
204,0,7,3,18,63,431,34,0,48,0,0,0
205,0,5,4,58,71,384,0,0,0,0,0,0
206,0,22,12,93,120,488,34,0,41,0,0,0
207,0,20,16,71,158,557,16,0,105,0,0,0
209,2,13,20,68,76,375,0,0,71,0,0,0
210,0,10,36,43,161,1058,10,0,31,0,0,0
211,0,4,6,44,73,481,50,0,105,0,0,0
212,1,6,12,81,162,535,0,0,65,0,0,0
214,0,4,6,20,76,318,4,0,43,0,0,0
215,5,16,9,53,116,492,24,0,75,0,0,0
216,0,2,4,18,48,245,18,0,28,0,0,0
219,1,7,0,22,56,411,12,1,52,0,0,0
220,6,28,31,92,159,1402,9,0,4,0,0,0
221,0,14,7,33,129,712,6,0,65,0,0,0
222,1,5,8,37,109,665,16,0,36,0,0,0
223,0,4,6,55,132,414,18,0,112,0,0,0
224,2,3,8,33,105,822,5,0,223,0,0,0
225,2,27,4,54,117,414,57,0,185,0,0,0
227,0,37,2,88,227,825,42,0,37,0,0,0
228,2,2,5,21,98,707,6,0,43,0,0,0
229,4,22,15,46,209,721,4,0,17,0,0,0
230,1,30,14,111,252,889,85,0,166,0,0,0
231,0,16,15,70,151,982,375,0,32,0,0,0
232,2,34,19,190,387,768,40,0,84,0,0,0
233,2,8,3,13,73,677,105,0,162,0,0,0
235,3,3,2,27,69,251,1,0,3,0,0,0
236,1,2,2,16,81,506,0,0,63,0,0,0
237,1,3,9,26,130,490,9,0,97,0,0,0
238,1,6,12,45,153,560,0,0,21,0,0,0
239,6,45,26,244,347,828,18,0,89,0,0,0
240,1,5,7,42,136,505,54,0,50,0,0,0
241,2,16,13,51,116,412,4,0,36,0,0,0
250,0,4,11,17,114,428,199,0,123,0,0,0
251,3,7,7,40,96,660,51,0,61,0,0,0
252,0,3,2,50,142,1163,57,0,178,0,0,0
253,0,3,2,13,49,465,6,0,12,0,0,0
254,0,7,9,37,117,377,18,0,3,0,0,0
255,1,15,30,76,244,1157,0,0,45,0,0,0
256,0,8,15,50,125,372,0,0,18,0,0,0
259,3,13,2,24,60,722,0,0,39,0,0,0
260,2,6,4,18,56,779,4,0,80,0,0,0
261,0,7,12,101,138,517,2,0,33,0,0,0
262,0,4,10,32,64,455,27,0,87,0,0,0
263,1,18,24,58,127,499,6,0,72,0,0,0
264,1,3,7,35,71,845,20,0,52,0,0,0
266,1,14,19,39,76,525,27,0,56,0,0,0
268,1,18,12,77,167,678,3,0,23,0,0,0
269,0,35,30,129,224,851,2,0,19,0,0,0
270,0,26,30,98,188,681,18,0,133,0,0,0
271,5,24,26,78,178,549,17,0,71,0,0,0
272,0,5,9,20,95,672,4,0,152,0,0,0
281,1,14,11,40,145,1058,0,0,55,0,0,0
282,2,8,14,32,164,853,17,0,76,0,0,0
283,0,11,22,91,211,1188,49,0,167,0,0,0
284,2,12,19,39,170,648,0,0,0,0,0,0
285,0,1,9,12,81,393,0,0,38,0,0,0
287,0,6,3,22,76,695,0,0,8,0,0,0
288,3,13,22,67,260,546,5,0,0,0,0,0
289,5,19,15,56,105,432,3,0,156,0,0,0
290,0,17,8,76,155,616,30,0,51,0,0,0
291,0,17,9,45,131,423,1,0,0,0,0,0
292,2,35,29,104,204,641,1,0,0,0,0,0
293,0,12,10,68,165,450,24,0,0,0,0,0
295,5,24,4,33,60,285,1,0,45,0,0,0
297,0,6,5,31,91,538,6,0,199,0,0,0
298,1,8,1,16,70,384,18,0,75,0,0,0
299,2,24,15,36,149,751,66,0,0,0,0,0
300,0,3,6,26,92,452,18,0,221,0,0,0
301,3,8,5,12,75,620,59,0,129,0,0,0
302,0,6,4,15,103,1002,49,0,50,0,0,0
303,2,13,15,45,154,816,32,0,64,0,0,0
305,2,7,7,32,138,742,1,0,59,0,0,0
306,0,23,18,38,97,240,2,0,16,0,0,0
307,4,19,11,45,111,529,0,0,59,0,0,0
